Site ID,Location description,Borough,Functional area for monitoring,Road type,Is it on the strategic CIO panel?,Old site ID (legacy),Easting (UK Grid),Northing (UK Grid),Latitude,Longitude
ML0001,Millbank (south of Thorney Street),Westminster,01 Central,01 A Road,1,CENCY001,530251.49,178742.45,51.492628,-0.12520362
ML0002,Bishopsgate,City of London,01 Central,01 A Road,2,CENCY002,533362.68,181824.45,51.519599,-0.07925389
ML0003,Southwark Bridge,Southwark,01 Central,01 A Road,3,CENCY003,532334.06,180520.37,51.508123,-0.094550618
ML0004,Southwark Bridge Road,Southwark,01 Central,01 A Road,4,CENCY004,532052.5,179677.64,51.500613,-0.098926959
ML0005,Tooley Street,Southwark,01 Central,01 A Road,5,CENCY005,533031.59,180213.46,51.5052,-0.084629047
ML0006,Southwark Bridge Road (north - between Flat Iron Square and America Street),Southwark,01 Central,01 A Road,6,CENCY006,532263.5,180067.71,51.504068,-0.095742803
ML0007,Albert Embankment (south of Salamanca Street),Lambeth,01 Central,01 A Road,7,CENCY007,530467.76,178622.08,51.4915,-0.12213838
ML0008,Strand,Westminster,01 Central,01 A Road,8,CENCY008,530347.31,180653.54,51.509779,-0.12311615
ML0009,Charing Cross Road,Westminster,01 Central,01 A Road,9,CENCY009,529990.4,180677.24,51.510077,-0.12824866
ML0010,Lambeth Palace Road,Lambeth,01 Central,01 A Road,10,CENCY010,530804.02,179489.31,51.499213,-0.11696597
ML0011,Whitehall (south of Horse Guards Avenue),Westminster,01 Central,01 A Road,11,CENCY011,530147.22,180015.05,51.504092,-0.12623169
ML0012,Westminster Bridge,Lambeth,01 Central,01 A Road,12,CENCY012,530573.64,179657.29,51.500776,-0.12022982
ML0013,Victoria Embankment (by Cleopatra's Needle),Westminster,01 Central,01 A Road,13,CENCY013,530526.13,180526.32,51.508597,-0.12058526
ML0014,Victoria Embankment (between Derby Gate and Westminster Bridge),Westminster,01 Central,01 A Road,14,CENCY014,530326.96,179837.81,51.502451,-0.12371985
ML0015,Millbank (north of Great Peter Street),Westminster,01 Central,01 A Road,15,CENCY015,530201.66,179250.93,51.497205,-0.12573618
ML0016,Lambeth Bridge,Westminster,01 Central,01 A Road,16,CENCY016,530398.21,178956.9,51.494517,-0.1230084
ML0017,Waterloo Bridge,Lambeth,01 Central,01 A Road,17,CENCY017,530788.45,180526.51,51.508536,-0.11681217
ML0018,Victoria Street,Westminster,01 Central,01 A Road,18,CENCY018,529919.79,179492.54,51.499444,-0.12970727
ML0019,Bridge Street,Westminster,01 Central,01 A Road,19,CENCY019,530249.63,179666.46,51.500932,-0.12489167
ML0020,Pall Mall,Westminster,01 Central,01 A Road,20,CENCY020,529532.62,180244.98,51.506291,-0.13500354
ML0021,Buckingham Palace Road,Westminster,01 Central,01 A Road,21,CENCY021,528969.24,179397.26,51.498808,-0.14342044
ML0022,Northumberland Avenue,Westminster,01 Central,01 A Road,22,CENCY022,530165.28,180354.63,51.507134,-0.1258475
ML0023,Kennington Road (north),Lambeth,01 Central,01 A Road,23,CENCY023,531158.29,179306.78,51.497487,-0.11193701
ML0024,Lambeth Road,Lambeth,01 Central,01 A Road,24,CENCY024,530991.24,179111.59,51.495773,-0.11441372
ML0025,Kennington Road (south of Brook Drive),Lambeth,01 Central,01 A Road,25,CENCY025,531238.86,179007.35,51.494781,-0.1108963
ML0026,Westminster Bridge Road,Lambeth,01 Central,01 A Road,26,CENCY026,531035.36,179520.77,51.499438,-0.1136285
ML0027,Waterloo Road,Southwark,01 Central,01 A Road,27,CENCY027,531450.89,179614.73,51.500187,-0.10761829
ML0028,Blackfriars Road (Southwark station),Southwark,01 Central,01 A Road,28,CENCY028,531651.06,180066.48,51.504202,-0.10455569
ML0029,Temple,City of London,01 Central,01 A Road,29,CENCY029,531293.47,180816.83,51.511025,-0.10943178
ML0030,Blackfriars Bridge,City of London,01 Central,01 A Road,30,CENCY030,531646.25,180576.49,51.508786,-0.10443749
ML0031,London Bridge,City of London,01 Central,01 A Road,31,CENCY031,532836.82,180658.1,51.509245,-0.087269532
ML0032,Borough High Street,Southwark,01 Central,01 A Road,32,CENCY032,532579.63,180056.66,51.503896,-0.09119671
ML0033,Bermondsey Street,Southwark,01 Central,01 A Road,33,CENCY033,533261.75,179628.74,51.499889,-0.081537913
ML0034,London Road,Southwark,01 Central,01 A Road,34,CENCY034,531829.05,179236.27,51.496702,-0.10230243
ML0035,Southwark Street,Southwark,01 Central,01 A Road,35,CENCY035,531721.16,180348.33,51.50672,-0.1034425
ML0036,Lambeth Road (west of St. George's Road),Southwark,01 Central,01 A Road,36,CENCY036,531346.01,179259.15,51.497021,-0.10924775
ML0037,Borough Road,Southwark,01 Central,01 A Road,37,CENCY037,531859,179485,51.498933,-0.10177755
ML0038,Minories,City of London,01 Central,01 A Road,38,CENCY038,533678.42,180836.05,51.510646,-0.075076507
ML0039,Gracechurch Street,City of London,01 Central,01 A Road,39,CENCY039,532949.2,180894.99,51.511339,-0.08555331
ML0040,Blackfriars Road,Southwark,01 Central,01 A Road,40,CENCY040,531652.69,179548.54,51.499547,-0.10473443
ML0041,Newgate Street,City of London,01 Central,01 A Road,41,CENCY041,531826.01,181393.34,51.516086,-0.10154009
ML0042,High Holborn,Camden,01 Central,01 A Road,42,CENCY042,530921.04,181605.18,51.518202,-0.11449649
ML0043,Holborn,City of London,01 Central,01 A Road,43,CENCY043,531279.1,181577.28,51.517867,-0.10935026
ML0044,New Bridge Street,City of London,01 Central,01 A Road,44,CENCY044,531647.29,181040,51.512956,-0.10424999
ML0045,Strand (east),Westminster,01 Central,01 A Road,45,CENCY045,531108.76,181105.66,51.513665,-0.11198874
ML0046,Rosebery Avenue (south),Camden,01 Central,01 A Road,46,CENCY046,531103.11,182127.6,51.522851,-0.11168092
ML0047,Clerkenwell Road (west),Camden,01 Central,01 A Road,47,CENCY047,531287.86,182040.79,51.522026,-0.10906269
ML0048,Moorgate,City of London,01 Central,01 A Road,48,CENCY048,532763.59,181740.07,51.518986,-0.087913677
ML0049,Farringdon Street,City of London,01 Central,01 A Road,49,CENCY049,531595.27,181401,51.516212,-0.10486427
ML0050,Aldgate High Street,City of London,01 Central,01 A Road,50,CENCY050,533641.021,181204.45,51.513962,-0.075469987
ML0051,Strand (west),Westminster,01 Central,01 A Road,51,CENCY051,530864.74,180976.07,51.512563,-0.11555083
ML0052,Theobald's Road,Camden,01 Central,01 A Road,52,CENCY052,530715.25,181853.88,51.520478,-0.11737183
ML0053,City Road,Islington,01 Central,01 A Road,53,CENCY053,532817.05,182064.1,51.521884,-0.087013848
ML0054,Kingsway,Camden,01 Central,01 A Road,54,CENCY054,530584.16,181356.56,51.516042,-0.11944284
ML0055,Aldwych,Westminster,01 Central,01 A Road,55,CENCY055,530666.47,180998.3,51.512806,-0.11839434
ML0056,Bloomsbury Way,Camden,01 Central,01 A Road,56,CENCY056,530290.11,181555.03,51.517898,-0.12360397
ML0057,Southampton Row,Camden,01 Central,01 A Road,57,CENCY057,530280.95,181908.5,51.521073,-0.12361763
ML0058,Bloomsbury Street,Camden,01 Central,01 A Road,58,CENCY058,529989.12,181571.02,51.518111,-0.12793371
ML0059,Tottenham Court Road (north),Camden,01 Central,01 A Road,59,CENCY059,529338.12,182150.96,51.523464,-0.13709854
ML0060,Tottenham Court Road (south),Camden,01 Central,01 A Road,60,CENCY060,529695.07,181599.19,51.518431,-0.13215825
ML0061,Oxford Street (east),Westminster,01 Central,01 A Road,61,CENCY061,529487.6,181323.17,51.515998,-0.13525565
ML0062,Charing Cross Road,Camden,01 Central,01 A Road,62,CENCY062,529856.33,181219.33,51.514979,-0.12997903
ML0063,Regent Street,Westminster,01 Central,01 A Road,63,CENCY063,529032.38,181188.51,51.514889,-0.14185867
ML0064,Wigmore Street,Westminster,01 Central,01 A Road,64,CENCY064,528235,181246.74,51.515591,-0.15331705
ML0065,Mortimer Street,Westminster,01 Central,01 A Road,65,CENCY065,529379.34,181655.07,51.519006,-0.13668948
ML0066,Farringdon Road (near station),Camden,01 Central,01 A Road,66,CENCY066,531519.94,181820.84,51.519995,-0.10580271
ML0067,Fetter Lane,City of London,01 Central,01 A Road,67,CENCY067,531298.71,181348.12,51.515805,-0.10916181
ML0068,Rosebery Avenue (north),Islington,01 Central,01 A Road,68,CENCY068,531420.5,182750.22,51.528376,-0.10688217
ML0069,Goswell Road (south),Islington,01 Central,01 A Road,69,CENCY069,532099.25,182024.88,51.521693,-0.097371684
ML0070,Portland Place,Westminster,01 Central,01 A Road,70,CENCY071,528827.266,181673.546,51.519294,-0.14463423
