datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2017/1/1,49.4,41.1,43.8,46.4,34.1,38.9,41.2,90.5,0.354,100,8.33,rain,0,0,30,12.6,269.8,1018.5,86.7,7,7.2,0.6,0,,2017-01-01T08:06:11,2017-01-01T16:02:20,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/2,42,32.1,38.3,38.1,29.1,33.7,33.4,82.4,0.079,100,4.17,rain,0,0,22.8,9.5,357.4,1028.3,20.5,13.7,44.6,3.9,2,,2017-01-02T08:06:03,2017-01-02T16:03:25,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/3,42,29.6,35.9,35.3,24.5,30.1,31.9,85.5,0,0,0,,0,0,21.5,12.6,266.6,1028,42,15.7,40.3,3.5,2,,2017-01-03T08:05:51,2017-01-03T16:04:33,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/4,45.8,37.6,41.5,40.7,31.2,36.4,33.9,74.8,0,0,0,,0,0,23,10.9,308.6,1025.5,65.5,20.7,21,1.7,1,,2017-01-04T08:05:36,2017-01-04T16:05:44,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/5,42.5,32.2,36.8,42.5,32.2,35.9,30.7,78.8,0,0,0,,0,0,13.4,4.6,323.3,1034.3,13,11.4,46.5,4.1,2,,2017-01-05T08:05:18,2017-01-05T16:06:57,0.25,Clear,Clear conditions throughout the day.,clear-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/6,44.8,30.8,38,42.9,30.8,35.3,35.3,90.8,0.039,100,4.17,rain,0,0,21.9,10.2,208.6,1036.1,78.5,5.6,28.2,2.4,2,,2017-01-06T08:04:56,2017-01-06T16:08:12,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/7,51.9,43.1,47.8,51.9,37.6,46,46.6,95.7,0.087,100,8.33,rain,0,0,21.3,9.7,273.2,1031.9,93.8,4,13.6,1.1,1,,2017-01-07T08:04:32,2017-01-07T16:09:29,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/8,51,46.5,48.5,51,46.1,48.1,46.7,93.6,0.008,100,4.17,rain,0,0,11.2,4.9,216.3,1032,92.9,3.8,10.5,1,1,,2017-01-08T08:04:03,2017-01-08T16:10:49,0.36,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"3,769,099,999,036,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/9,50.1,40.2,47.1,50.1,33.5,42.8,44.7,91.7,0.134,100,8.33,rain,0,0,28.9,14.6,234.4,1019.2,78.7,8,18.7,1.5,1,,2017-01-09T08:03:32,2017-01-09T16:12:11,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/10,48.3,39.3,44.1,43.8,33.2,39.4,39.4,83.7,0.078,100,4.17,rain,0,0.1,24.4,10.7,264.5,1011.2,70.5,13,36.8,3.1,2,,2017-01-10T08:02:58,2017-01-10T16:13:35,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/11,52.8,42.9,47.5,52.8,36.6,43.5,38.5,72.9,0,0,0,,0,0.4,34.5,17.3,273.5,1011,60.5,13,33,2.8,2,,2017-01-11T08:02:20,2017-01-11T16:15:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/12,44.9,35,41.1,41.2,26.8,35.4,35.8,81.6,0.668,100,8.33,"rain,snow",0,0.3,37.6,15.2,262.1,1004.9,80.9,10.6,12.8,1.2,1,,2017-01-12T08:01:40,2017-01-12T16:16:29,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/13,43.1,33.9,37.9,36.1,24.8,29.7,30.5,75,0.103,100,8.33,"rain,snow",0,0.6,34.6,20.8,297.3,1009,49.7,22.5,37.1,3.1,2,,2017-01-13T08:00:56,2017-01-13T16:17:59,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/14,42,33.2,36.5,35.9,25.5,30.4,32.4,85.3,0.016,100,4.17,rain,0,0.1,26.4,10.9,293,1020.2,42.8,20.3,39.1,3.4,2,,2017-01-14T08:00:09,2017-01-14T16:19:30,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/15,48.5,34.1,42,45.3,29.1,38.2,40.7,95.2,0.213,100,8.33,rain,0,0,23.9,9.9,296.6,1022.6,85.5,5.5,4.7,0.4,0,,2017-01-15T07:59:20,2017-01-15T16:21:03,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/16,45.8,40.4,41.6,44.3,37.6,39.7,38.4,88.6,0.134,100,8.33,rain,0,0,10.3,5.2,116.5,1027.6,93.5,6.9,8.5,0.7,1,,2017-01-16T07:58:27,2017-01-16T16:22:38,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/17,41.3,33.1,37.7,40.4,33.1,36.8,29.4,73.7,0,0,0,,0,0,11.4,5.1,132.9,1035.9,31.4,7.7,45.8,3.9,2,,2017-01-17T07:57:32,2017-01-17T16:24:14,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/18,41.3,28.1,34.6,41.3,28.1,34.6,25.9,72.2,0,0,0,,0,0,18.3,2.9,48.1,1038.6,25.2,9,52.2,4.5,3,,2017-01-18T07:56:34,2017-01-18T16:25:52,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,EGWU,03680099999,EGLL,03672099999,03781099999,EGLC,03772099999,03770099999"
2017/1/19,44.9,31.3,38.2,40.8,31.3,36.2,30.6,74.8,0,0,0,,0,0,12.5,7.7,42.7,1037.2,15.5,7.4,52.2,4.5,3,,2017-01-19T07:55:33,2017-01-19T16:27:30,0.75,Clear,Clear conditions throughout the day.,clear-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/20,44.7,33.1,38.2,39.3,29.4,34.3,29.1,70.7,0,0,0,,0,0,18.1,10.4,58.7,1033.4,0.5,13.8,60.5,5.2,3,,2017-01-20T07:54:29,2017-01-20T16:29:10,0.76,Clear,Clear conditions throughout the day.,clear-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/21,40.2,30.3,35.5,35.7,28,31.9,26.1,69.9,0,0,0,,0,0,16.1,9.3,93.9,1028,9,11.5,59.4,5.1,3,,2017-01-21T07:53:23,2017-01-21T16:30:51,0.79,Clear,Clear conditions throughout the day.,clear-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/22,42.9,27.6,33.4,41.3,26,32.8,30,88.2,0,0,0,,0,0,12.3,4.3,162.7,1027.2,7.5,3,61.6,5.2,3,,2017-01-22T07:52:14,2017-01-22T16:32:33,0.82,Clear,Clear conditions throughout the day.,clear-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/23,39.5,28.5,34.4,39.5,27.8,33.2,33,94.9,0.008,100,4.17,rain,0,0,8.7,3.9,253.5,1028.2,60.1,2,33.3,2.9,2,,2017-01-23T07:51:03,2017-01-23T16:34:17,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/24,47.6,33.1,39,44.3,33.1,38,36,89.6,0,0,0,,0,0,11,7.1,249.1,1028.1,26.1,5.9,60,5,3,,2017-01-24T07:49:49,2017-01-24T16:36:00,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"3,769,099,999,036,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/25,38.6,31.4,34.7,37.5,26.6,32,33.9,97.2,0,0,0,,0,0,21.9,7,125.5,1027.6,87.2,1.4,23.2,2.1,1,,2017-01-25T07:48:33,2017-01-25T16:37:45,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/26,33,30.8,31.7,27.7,23.8,25.9,27.1,82.9,0,0,0,,0,0,22.1,8.1,97.1,1020.1,77,3.2,45,3.8,2,,2017-01-26T07:47:14,2017-01-26T16:39:31,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/27,44.7,31.4,38.3,40.5,26.5,33.4,34.1,84.9,0,0,0,,0,0,23.3,10.6,121.1,1010.8,64.7,4.3,63.6,5.6,3,,2017-01-27T07:45:53,2017-01-27T16:41:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/28,49.4,41.1,45.6,44.9,35.9,40.8,39.3,78.7,0.008,100,4.17,rain,0,0,25.1,14.1,204.6,1010.1,61.9,17.4,53,4.6,3,,2017-01-28T07:44:30,2017-01-28T16:43:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2017/1/29,49.4,36.6,44,45.6,32.8,39.4,41.4,90.5,0.158,100,8.33,rain,0,0,36,12.3,191.6,1011.8,72,11,28.4,2.7,2,,2017-01-29T07:43:04,2017-01-29T16:44:52,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,368,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
